Categoría,"                                            Nombre de la base y/o conjunto de datos

","                                                     Nombre de la tabla de la base de datos / hoja del conjunto de datos

",Descripción de capa,Etiqueta del campo o variable ,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,"Clasificación de la información
","Especificaciones y/o reglas de cálculo
 
","Obligatoriedad del campo
 
","Registro de campos vacíos 
 
","Tipo de archivo:
"
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",ID ,IDENTIFICADOR,Número entero ,Número consecutivo,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",no_folio,NÚMERO DE FOLIO,Número entero ,Número consecutivo,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",fecha_even,FECHA DE EVENTO,Fecha ,aaaa-mm-dd,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",ano_evento,AÑO DE EVENTO,Número entero ,2019,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",mes,MES,Alfanumérico,Enero   a    Septiembre,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",hora,HORA,Número decimales,00:00,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",condicion,CONDICIÓN,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",tipo_de_ev,TIPO DE EVENTO,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",coordenada,COORDENADAS LONGITUD DECIMAS DE GRADO,Número decimales,Valor X,Pública,Proyección cartografica UTM zona 14,Obligatorio,Sin datos vacios,Shape file (.shp)
Movilidad; Justicia y Seguridad,accidentado_ciclista,Puntos de accidentes de Ciclistas,"Capa de información geoespacial con la ubicación de los puntos de ciclistas accidentados, en Ciudad de México",coordena_1,COORDENADAS LATITUD DECIMAS DE GRADO,Número decimales,Valor Y,Pública,Proyección cartografica UTM zona 14,Obligatorio,Sin datos vacios,Shape file (.shp)
