id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
0,11,103,6,CAMINO VIEJO A MIXCOAC,3RA CERRADA TORRES TEPITO,2DA CERRADA TORRES TEPITO,1,48,2,9010,SAN BARTOLO,,,1,9010,SAN BARTOLO,,,5,2,17,30,17,55,2,0.0,,2,0.0,,2.0,2,1,1,2,3,2,1,2,2,1,1,2,2,1,2.0,3.0,2.0,1,1.0,1,4,3,3,60,5000,3,1,2,4,2,2,1,2,2,2,2,1,4,30.26
1,9,75,2,VASCO DE QUIROGA,POLVORA,,1,35,1,9010,LA MEXICANA,,,3,9010,NO RECUERDA,,,2,9,10,40,11,5,2,0.0,,2,0.0,,1.0,3,4,4,4,10,1,2,2,2,1,2,1,2,1,1.0,3.0,2.0,2,,1,9,5,1,200,30000,6,1,2,4,2,2,1,2,2,2,2,2,4,26.72
2,9,79,5,VASCO DE QUIROGA,POLVORA,,1,43,2,9010,MEXICANA,,,2,9010,SANTA FE,,,4,1,11,45,11,55,2,0.0,,2,0.0,,1.0,4,4,4,4,10,2,2,2,2,1,2,2,2,1,2.0,9.0,1.0,2,,1,3,1,4,170,8000,4,1,2,2,2,2,2,2,2,2,1,2,4,26.72
3,8,70,5,POSTA,STA LUCIA,,1,54,1,9010,AMPLIACION PILOTO,,,7,9010,COLINA DEL SUR,,,4,9,14,2,14,20,1,1.0,4.0,2,0.0,,1.0,4,4,4,4,3,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,800,999999,4,1,2,1,2,2,2,2,2,2,2,2,3,73.07
4,18,145,2,CALZADA DE LOS LEONES,CALZADA DE LOS LEONES,5 DE MAYO,1,35,1,9010,BOSQUE DE TARANGO,,,4,9010,SAN ANGEL,,,4,4,9,32,10,16,2,0.0,,2,0.0,,1.0,1,1,2,2,10,2,1,2,2,1,2,1,1,1,2.0,2.0,2.0,2,,1,8,5,5,600,12000,5,1,2,4,2,2,2,2,2,2,2,2,4,224.51
5,19,156,6,AV. DE LAS CULTURAS,CULTURA GRIEGA,,1,25,1,15104,LOS REYES DE IXTACALA,,,2,9002,CD. VALLE,,,2,1,9,0,9,40,2,0.0,,2,0.0,,2.0,4,4,4,4,10,1,1,2,2,2,1,2,2,2,,,,2,,1,5,4,3,500,4000,3,1,2,1,2,2,1,2,2,2,2,1,6,71.66
6,12,113,9,,AV RENATO LEDUC,SILLON DE MENDOZA,1,28,7,9012,SAN LORENZO,,,2,9012,TORILLO GUERRA,,,4,1,14,50,15,3,2,0.0,,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,1,1,1,2,2,,,,2,,1,8,5,4,300,5000,3,1,2,3,2,2,2,2,2,2,2,2,4,30.31
7,21,219,18,FAJA DE ORO,CERRO AZUL,,1,21,3,15057,,CCH NAUCALPAN,,1,9002,CAMARONES,,,9,2,18,30,20,0,1,1.0,1.0,1,1.0,6.0,1.0,1,1,3,3,1,2,2,2,2,1,2,2,2,1,1.0,3.0,2.0,1,1.0,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,2,5,25.29
8,21,212,11,FAJA DE ORO,CERRO AZUL,,1,18,1,9002,PETROLERA,PUESTO DE COMIDA,,2,9002,PETROLERA,,,4,1,15,1,15,25,1,2.0,2.0,2,0.0,,1.0,1,2,3,3,9,2,2,2,2,1,2,2,2,2,,,,1,1.0,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,1,5,25.29
9,21,211,10,FAJA DE ORO,CERRO AZUL,,1,61,1,9002,REYNOSA,,,2,9002,PETROLERA,,,4,1,13,38,13,55,2,0.0,,2,0.0,,1.0,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3.0,6.0,2.0,1,1.0,1,4,3,3,50,1500,2,1,2,2,1,1,2,2,2,2,2,2,4,25.29
