short_name,origin,destination,global_events,lat,lon,capacity
271,68359,89148,157507,19.443684,-99.152465,74
266,82644,50883,133527,19.444031,-99.152187,75
182,63205,59604,122809,19.402028398340054,-99.17129248386118,31
217,51714,44204,95918,19.432850919536445,-99.18354526173061,31
136,49673,44664,94337,19.417715,-99.162729,23
208,40963,47375,88338,19.434182,-99.189835,25
174,45906,40254,86160,19.441133258345886,-99.16170336308824,31
141,43116,39433,82549,19.415905,-99.15954,31
134,42632,38001,80633,19.418293491655607,-99.15993556380272,31
107,39598,39750,79348,19.427305,-99.149533,59
270,40132,38372,78504,19.436764,-99.153865,33
211,35526,42430,77956,19.433607,-99.188528,35
146,39160,37202,76362,19.410699360989387,-99.16587710386011,23
116,39930,34832,74762,19.428985,-99.15664,23
194,34384,38560,72944,19.424282,-99.180334,35
242,36564,36214,72778,19.44002672090815,-99.20071095250022,31
295,37678,29241,66919,19.396189323455705,-99.15687739860005,35
151,34908,31175,66083,19.410529,-99.160873,27
158,33776,31497,65273,19.407517,-99.155373,74
206,31250,31463,62713,19.436142,-99.200996,23
145,32500,29758,62258,19.41286,-99.160661,27
390,29177,31954,61131,19.373161,-99.178243,47
124,30893,30006,60899,19.422392,-99.150358,35
150,32504,28373,60877,19.409894,-99.164288,31
119,29479,30120,59599,19.4268522887659,-99.1556279361248,25
197,29738,29262,59000,19.440924618966452,-99.20504942541811,31
305,30167,27903,58070,19.394693,-99.175531,31
135,28807,26494,55301,19.419250969141167,-99.15503863246612,38
142,27971,25583,53554,19.41325186264067,-99.16412428026888,31
149,26888,25300,52188,19.41199,-99.155699,31
111,24557,26944,51501,19.438197,-99.165918,27
103,26413,24887,51300,19.441533,-99.165268,31
129,25596,25522,51118,19.4206,-99.163312,23
163,28490,22398,50888,19.405245999999998,-99.15643,35
121,24547,26128,50675,19.42413685832429,-99.16131634266549,15
183,26283,23836,50119,19.437665,-99.164018,35
126,25845,23187,49032,19.422288,-99.162138,34
185,24604,24252,48856,19.412776,-99.182805,29
113,25257,23519,48776,19.430369,-99.154419,15
137,24072,24404,48476,19.418774,-99.157081,27
205,23737,23845,47582,19.43552573443183,-99.18474711483212,19
164,24785,22598,47383,19.403204,-99.16596,27
291,23913,23135,47048,19.397651,-99.169946,35
253,23269,23706,46975,19.42644758104329,-99.17815290396902,19
302,25336,20701,46037,19.393914210245562,-99.1716746986458,39
123,22356,23459,45815,19.424161,-99.153117,27
180,21809,23844,45653,19.404554,-99.169953,27
256,21860,23679,45539,19.437128,-99.158363,23
187,22143,23367,45510,19.411227,-99.185514,23
162,23062,22346,45408,19.404907,-99.162485,27
192,19902,25291,45193,19.425907,-99.190733,49
165,22242,22800,45042,19.404268,-99.160503,23
276,22300,21716,44016,19.401986,-99.156366,19
254,23484,20198,43682,19.439347,-99.160074,31
280,25304,18203,43507,19.4015,-99.156406,39
120,21171,22145,43316,19.425437,-99.159458,15
226,21999,21180,43179,19.431044265870334,-99.18220639234278,27
167,19709,23420,43129,19.404608864422567,-99.1794095188925,23
476,21513,21615,43128,19.442127,-99.184433,35
117,22123,20547,42670,19.427166592327957,-99.16029106826954,31
258,19820,22512,42332,19.4165298,-99.1790435,33
118,21657,20641,42298,19.427114,-99.158251,19
452,20017,22176,42193,19.435867000000002,-99.179856,15
186,19430,22609,42039,19.412455,-99.188489,15
125,20912,21067,41979,19.424197,-99.156127,35
127,20400,21338,41738,19.423318,-99.15833,27
286,18541,23040,41581,19.399201,-99.179943,19
317,20963,20560,41523,19.391456,-99.166157,35
130,21800,19607,41407,19.421576,-99.158015,23
223,18623,22673,41296,19.431242,-99.191613,35
209,20327,20914,41241,19.435478,-99.206359,19
237,18012,23208,41220,19.426744,-99.193986,63
133,21910,19180,41090,19.421138,-99.154725,35
115,19927,20946,40873,19.429947,-99.159698,27
179,19862,21003,40865,19.404435569698265,-99.17138099675866,27
169,20809,19842,40651,19.403019,-99.174934,23
112,20354,20027,40381,19.432819,-99.151734,23
398,20442,19853,40295,19.37104,-99.165653,27
154,18480,21540,40020,19.406683,-99.167962,35
128,20415,19525,39940,19.422148,-99.160645,23
168,19188,20364,39552,19.403997,-99.1776,23
219,18926,20563,39489,19.433542,-99.207808,39
233,19733,19738,39471,19.429314,-99.196965,15
250,20795,18552,39347,19.428949,-99.179796,23
235,19502,19281,38783,19.429332,-99.202181,55
326,22676,15726,38402,19.388978,-99.174811,35
248,17774,20493,38267,19.43175,-99.177399,23
140,18574,19438,38012,19.416596,-99.156879,19
310,17760,20245,38005,19.395316464981526,-99.18172560637684,15
207,19946,17837,37783,19.434861,-99.183322,23
321,20285,17219,37504,19.389477,-99.157513,27
340,18864,18352,37216,19.385625037771153,-99.15819257503244,31
301,18469,18426,36895,19.393807,-99.171133,25
178,19458,17311,36769,19.406833,-99.180457,23
152,18226,18483,36709,19.409098,-99.167181,35
177,17148,19346,36494,19.408841,-99.181692,19
131,18810,17371,36181,19.419579,-99.161314,19
144,19043,16385,35428,19.415192,-99.154837,27
204,15311,20104,35415,19.435882,-99.19152,27
384,16218,19049,35267,19.375865,-99.185573,23
170,16886,18192,35078,19.404029,-99.184342,23
212,16786,18237,35023,19.433863944714325,-99.18809428821986,35
447,17390,17496,34886,19.418879,-99.176854,27
246,16417,18365,34782,19.434147,-99.179835,15
106,18861,15350,34211,19.42649,-99.133537,23
172,17244,16921,34165,19.403507124790526,-99.18165966879315,19
171,16377,17664,34041,19.40253247789727,-99.1782025248358,27
359,16391,17405,33796,19.379331,-99.161163,31
166,14839,18755,33594,19.406069,-99.183549,23
210,14424,19162,33586,19.434076,-99.194091,27
297,17317,16047,33364,19.394412,-99.158907,27
195,15949,17401,33350,19.424858,-99.185181,31
143,16843,16503,33346,19.414303,-99.157542,23
181,16647,16420,33067,19.404825166337652,-99.17472235863897,27
221,15654,17219,32873,19.431799,-99.201565,25
292,17153,15036,32189,19.396917,-99.166264,31
153,15388,16715,32103,19.407468,-99.165141,23
114,15592,16509,32101,19.428989,-99.153618,23
176,20840,11154,31994,19.442717,-99.152262,39
385,14795,17114,31909,19.375650918831095,-99.18558642279095,35
173,15090,16682,31772,19.401682,-99.176398,23
372,16264,15424,31688,19.377966,-99.170272,19
216,14769,16900,31669,19.433419,-99.195746,27
138,15804,15743,31547,19.417702,-99.155313,27
329,13715,17439,31154,19.390306,-99.184812,31
132,16576,14308,30884,19.420667,-99.15645,23
240,14235,16547,30782,19.438634297233477,-99.20629061763975,17
351,15310,15321,30631,19.385751,-99.186297,15
239,15056,15074,30130,19.430153,-99.181355,19
147,14726,15298,30024,19.412182,-99.158443,27
356,14564,15234,29798,19.381287,-99.1702,15
277,14950,14702,29652,19.401807,-99.15909,31
148,13320,16246,29566,19.412829,-99.155116,21
231,14347,15148,29495,19.429711892530808,-99.19357940565533,27
232,14674,14697,29371,19.42894,-99.185389,31
191,12061,17210,29271,19.40796,-99.187901,19
252,14399,14860,29259,19.427575,-99.17702,19
261,14665,14292,28957,19.42491,-99.172455,43
234,13246,15425,28671,19.42786220267939,-99.1914046928423,27
303,16489,12169,28658,19.394861698080163,-99.17300574486944,26
230,14024,14629,28653,19.430098,-99.200074,15
201,13987,14538,28525,19.437496732030738,-99.18721206491682,19
306,13553,14926,28479,19.393699,-99.175664,35
255,14440,13888,28328,19.437118,-99.161862,35
450,14261,13667,27928,19.43832573320297,-99.15223784747468,31
225,13878,13839,27717,19.431172,-99.185612,21
161,12564,14875,27439,19.405533,-99.164913,23
200,13334,13927,27261,19.437596,-99.188785,27
299,13803,13253,27056,19.394601,-99.165054,27
392,13681,13346,27027,19.373004,-99.174764,19
475,13057,13821,26878,19.439249,-99.181065,23
249,13003,13863,26866,19.42988388240091,-99.1775936633894,15
188,11448,15397,26845,19.411711,-99.190139,19
228,10982,15809,26791,19.427705,-99.19912,19
184,13508,13174,26682,19.414793,-99.185083,35
224,12695,13875,26570,19.431255,-99.188065,15
396,13231,13312,26543,19.37165,-99.17015,19
369,13132,13335,26467,19.379941,-99.177224,35
285,11901,13976,25877,19.399763,-99.177538,19
363,11369,13926,25295,19.380839,-99.183932,23
316,12780,12137,24917,19.391056,-99.1712,27
319,10646,14268,24914,19.391991,-99.162684,27
281,13044,11845,24889,19.398532,-99.157308,31
377,13416,11431,24847,19.375397,-99.163778,35
389,11719,13092,24811,19.373438,-99.179531,39
448,13033,11669,24702,19.426611,-99.14447,31
309,11005,13668,24673,19.393059,-99.179483,31
198,11977,12324,24301,19.438173973703993,-99.20383617292828,25
215,10640,13630,24270,19.43384,-99.19968,23
189,10094,13989,24083,19.410046050731914,-99.18795973067971,19
449,11936,12025,23961,19.420281,-99.174392,27
251,9879,13543,23422,19.429261,-99.17538,15
227,10750,12548,23298,19.431783492215445,-99.20738060028725,23
337,11303,11795,23098,19.384849,-99.16704,19
304,12366,10713,23079,19.395043,-99.173821,35
308,10544,12518,23062,19.393643,-99.178156,31
347,10836,12224,23060,19.384474,-99.176084,19
328,10204,12605,22809,19.392721,-99.184727,15
460,11389,11319,22708,19.43716476942747,-99.20793056498951,35
290,13358,9004,22362,19.396357553826412,-99.17268387978766,26
157,10758,11508,22266,19.406236,-99.166616,30
474,10275,11940,22215,19.438984,-99.177549,31
320,9861,12335,22196,19.391323,-99.15936,19
463,10445,11687,22132,19.443228,-99.202492,27
259,11096,11035,22131,19.437569,-99.15468,27
470,11103,11009,22112,19.435039,-99.173879,23
402,10916,11107,22023,19.370934360592926,-99.15874142201119,27
278,11208,10765,21973,19.40071,-99.163831,19
420,11407,10541,21948,19.36967233269665,-99.17958118026945,23
394,10289,11526,21815,19.372474,-99.171639,35
357,10791,11000,21791,19.380617,-99.167066,23
334,11000,10789,21789,19.386530826718293,-99.17510658508034,27
405,11302,10434,21736,19.370565558464016,-99.15662247688942,27
325,10328,11364,21692,19.38817793281278,-99.16966706519814,23
109,11830,9608,21438,19.425311,-99.137421,31
284,10743,10659,21402,19.397693,-99.172981,31
425,11962,9423,21385,19.36704,-99.167387,35
288,10435,10919,21354,19.396339843986805,-99.1835709661791,15
451,9041,12084,21125,19.428847,-99.201299,33
263,10375,10708,21083,19.436274,-99.158425,29
386,8898,11971,20869,19.374912,-99.185807,39
229,9223,11628,20851,19.430515,-99.203331,23
312,9931,10904,20835,19.39270929935713,-99.18373167525715,27
393,9820,10964,20784,19.373307,-99.172471,35
214,9165,11569,20734,19.434353,-99.20322,27
244,8977,11687,20664,19.440508,-99.193681,23
273,11267,9353,20620,19.442707,-99.152956,70
245,9376,11232,20608,19.438347,-99.190503,21
331,9001,11545,20546,19.388748,-99.183924,27
202,10321,10215,20536,19.436064000000002,-99.198898,19
352,8938,11585,20523,19.384146,-99.185491,31
439,10784,9700,20484,19.362037,-99.172683,19
243,8503,11909,20412,19.441123,-99.195857,23
293,10156,10108,20264,19.397373,-99.164598,23
313,8530,11663,20193,19.391431,-99.178989,23
480,10669,9395,20064,19.446073,-99.181654,19
371,10080,9937,20017,19.378546,-99.174297,23
122,10158,9777,19935,19.425502,-99.146337,31
341,9834,9897,19731,19.382889,-99.158352,31
265,10575,9144,19719,19.440839,-99.152265,33
260,10341,9250,19591,19.43531137040153,-99.14778560405466,21
404,10591,8944,19535,19.373833,-99.157433,31
374,10532,8974,19506,19.376959,-99.161099,31
471,9498,10004,19502,19.436287,-99.174888,19
433,9794,9685,19479,19.363548,-99.170766,19
335,10450,8644,19094,19.386989,-99.173438,35
436,10031,9027,19058,19.36623,-99.177904,30
440,8669,10210,18879,19.3617925,-99.1714707,27
465,10112,8547,18659,19.445039,-99.194078,27
264,8986,9415,18401,19.440985,-99.152935,71
365,9611,8751,18362,19.381123,-99.18667,21
110,10738,7495,18233,19.425126,-99.143391,35
