short_name,origin,destination,global_events,lat,lon,capacity
064,98876.0,95614,194490.0,19.412967269545486,-99.16692517703268,27
027,95009.0,92842,187851.0,19.42916,-99.162703,43
043,77470.0,68351,145821.0,19.4351365,-99.1460756,31
001,73654.0,71336,144990.0,19.43347819859695,-99.16778985412292,35
014,75320.0,65357,140677.0,19.42454,-99.173247,39
018,73004.0,67255,140259.0,19.428802,-99.164381,39
029,68313.0,59527,127840.0,19.434944,-99.150295,35
028,66346.0,61061,127407.0,19.423664,-99.172568,35
053,62712.0,62489,125201.0,19.4148233,-99.1783527,15
007,64224.0,57104,121328.0,19.425355,-99.17515,23
072,58551.0,60146,118697.0,19.409859,-99.179565,31
041,58274.0,58679,116953.0,19.43542,-99.150317,33
017,61776.0,54585,116361.0,19.427553,-99.167396,27
242,62114.0,53868,115982.0,19.44002672090815,-99.20071095250022,31
038,59751.0,56103,115854.0,19.420829444872908,-99.17142122989388,35
056,59967.0,55507,115474.0,19.417102,-99.165607,35
074,58182.0,57069,115251.0,19.410468,-99.172802,35
030,59614.0,54344,113958.0,19.426384,-99.164255,23
194,55960.0,57800,113760.0,19.424282,-99.180334,35
031,56740.0,56372,113112.0,19.427922277979096,-99.16124593467885,37
208,52628.0,60312,112940.0,19.434182,-99.189835,25
134,56872.0,53398,110270.0,19.418293491655607,-99.15993556380272,31
019,52915.0,56243,109158.0,19.429453,-99.16283,31
052,55330.0,52600,107930.0,19.436208,-99.141931,19
032,54085.0,52156,106241.0,19.42268552552878,-99.16998323054486,35
150,54625.0,51439,106064.0,19.409894,-99.164288,31
010,51848.0,54204,106052.0,19.433431,-99.155142,27
015,52600.0,52059,104659.0,19.425597,-99.171409,23
070,52937.0,51165,104102.0,19.41128,-99.169825,45
174,49254.0,54609,103863.0,19.441133258345886,-99.16170336308824,31
016,52955.0,50751,103706.0,19.4267528,-99.16861944,31
036,50951.0,50417,101368.0,19.41966,-99.17588,31
047,51195.0,48667,99862.0,19.419506460644055,-99.16636526590081,29
025,48847.0,48972,97819.0,19.427338,-99.16672,27
046,51212.0,46598,97810.0,19.419106780689958,-99.16973479097578,39
195,46927.0,50339,97266.0,19.424858,-99.185181,31
141,51152.0,45983,97135.0,19.415905,-99.15954,31
059,50174.0,46547,96721.0,19.415237,-99.16659,35
139,49414.0,47244,96658.0,19.416128,-99.162097,23
555,45561.0,47290,92851.0,19.44021597,-99.1561678,35
111,44557.0,48274,92831.0,19.438197,-99.165918,27
037,47013.0,44156,91169.0,19.42041712015948,-99.17271204298231,35
116,46544.0,43920,90464.0,19.428985,-99.15664,23
006,44872.0,44528,89400.0,19.430963,-99.166986,15
217,47519.0,41458,88977.0,19.432850919536445,-99.18354526173061,31
005,46237.0,41746,87983.0,19.429804,-99.169451,23
136,44840.0,42646,87486.0,19.417715,-99.162729,23
182,42922.0,43561,86483.0,19.402028398340054,-99.17129248386118,31
280,48564.0,37114,85678.0,19.4015,-99.156406,39
142,45045.0,40317,85362.0,19.41325186264067,-99.16412428026888,31
045,43540.0,40918,84458.0,19.418749,-99.171942,39
260,44474.0,39517,83991.0,19.43531137040153,-99.14778560405466,21
066,41574.0,42405,83979.0,19.411825,-99.178456,27
121,41048.0,41276,82324.0,19.42413685832429,-99.16131634266549,15
086,39689.0,41472,81161.0,19.432452,-99.15924,17
054,41983.0,38321,80304.0,19.416163,-99.170795,35
020,37186.0,42597,79783.0,19.43086152710901,-99.16025899353372,23
068,40713.0,39034,79747.0,19.41166825384696,-99.17382381861898,25
302,40623.0,38485,79108.0,19.393914210245562,-99.1716746986458,39
058,39501.0,39513,79014.0,19.415358,-99.171902,27
270,39440.0,39462,78902.0,19.436764,-99.153865,33
115,39036.0,39837,78873.0,19.429947,-99.159698,27
061,40024.0,38760,78784.0,19.413832444192096,-99.16939929138606,35
135,40610.0,37785,78395.0,19.419250969141167,-99.15503863246612,38
180,38863.0,39377,78240.0,19.404554,-99.169953,27
033,39524.0,38593,78117.0,19.424187,-99.166497,17
131,41147.0,36951,78098.0,19.419579,-99.161314,19
257,38100.0,39465,77565.0,19.433803,-99.166223,19
117,40494.0,35904,76398.0,19.427166592327957,-99.16029106826954,31
040,38183.0,37635,75818.0,19.42235098990008,-99.16417356581859,23
119,37804.0,37172,74976.0,19.4268522887659,-99.1556279361248,25
183,35670.0,39270,74940.0,19.437665,-99.164018,35
071,37756.0,37133,74889.0,19.411361,-99.171271,35
154,36509.0,38331,74840.0,19.406683,-99.167962,35
175,36602.0,37396,73998.0,19.400599004903363,-99.17245991533491,23
124,36921.0,37021,73942.0,19.422392,-99.150358,35
128,37621.0,36051,73672.0,19.422148,-99.160645,23
087,37990.0,35014,73004.0,19.432024,-99.139705,25
049,34984.0,36598,71582.0,19.41689,-99.17562,39
082,35964.0,35301,71265.0,19.433344,-99.14404,11
295,37469.0,33630,71099.0,19.396189323455705,-99.15687739860005,35
190,34951.0,36063,71014.0,19.409577,-99.183818,31
133,37525.0,33383,70908.0,19.421138,-99.154725,35
