sistema,num_cicloestacion,nombre,calle_principal,calle_secundaria,colonia,alcaldia,latitud,longitud,tipo_ce,candados
ECOBICI,1,Río Sena - Río Balsas,Río Sena,Río Balsas,Cuauhtémoc,CUAUHTEMOC,19.4335895,-99.1678193,4G,27
ECOBICI,2,Río Guadalquivir - Río Nazas,Río Guadalquivir,Río Nazas,Cuauhtémoc,CUAUHTEMOC,19.43051,-99.171201,3G,21
ECOBICI,3,Reforma - Insurgentes,Reforma,Insurgentes,Tabacalera,CUAUHTEMOC,19.43163,-99.158547,4G,36
ECOBICI,4,Río Nilo - Río Pánuco,Río Nilo,Río Pánuco,Cuauhtémoc,CUAUHTEMOC,19.428491,-99.171693,3G,15
ECOBICI,5,Río Pánuco - Río Tíber,Río Pánuco,Río Tíber,Cuauhtémoc,CUAUHTEMOC,19.429804,-99.169451,3G,12
ECOBICI,6,Río Pánuco - Río Sena,Río Pánuco,Río Sena,Cuauhtémoc,CUAUHTEMOC,19.430963,-99.166986,3G,15
ECOBICI,7,Río Elba - Río Lerma,Río Elba,Río Lerma,Cuauhtémoc,CUAUHTEMOC,19.425355,-99.17515,3G,24
ECOBICI,8,Reforma - General Prim,Reforma,General Prim,Tabacalera,CUAUHTEMOC,19.431256,-99.158153,3G,12
ECOBICI,9,Río Guadalquivir - Río Lerma,Río Guadalquivir,Río Lerma,Cuauhtémoc,CUAUHTEMOC,19.428184,-99.170013,3G,24
ECOBICI,10,Reforma - Ramírez,Reforma,Ramírez,Tabacalera,CUAUHTEMOC,19.433431,-99.155142,4G,36
ECOBICI,11,Río Amazonas - Río Lerma,Río Amazonas,Río Lerma,Cuauhtémoc,CUAUHTEMOC,19.431192,-99.163546,3G,15
ECOBICI,12,Río Lerma - Villalongín,Río Lerma,Villalongín,Cuauhtémoc,CUAUHTEMOC,19.432223,-99.161686,3G,15
ECOBICI,13,Reforma - Río Mississippi,Reforma,Río Mississippi,Cuauhtémoc,CUAUHTEMOC,19.424941,-99.17233,4G,36
ECOBICI,14,Reforma - Río de la Plata,Reforma,Río de la Plata,Cuauhtémoc,CUAUHTEMOC,19.42454,-99.173247,3G,36
ECOBICI,15,Reforma - Río Mississippi,Reforma,Río Mississippi,Cuauhtémoc,CUAUHTEMOC,19.425597,-99.171409,4G,24
ECOBICI,16,Reforma - Río Tíber,Reforma,Río Tíber,Cuauhtémoc,CUAUHTEMOC,19.426898,-99.168422,3G,36
ECOBICI,17,Reforma - Río Tíber,Reforma,Río Tíber,Cuauhtémoc,CUAUHTEMOC,19.427553,-99.167396,4G,27
ECOBICI,18,Reforma - Río Rhin,Reforma,Río Rhin,Cuauhtémoc,CUAUHTEMOC,19.428802,-99.164381,4G,36
ECOBICI,19,Reforma - Río Rhin,Reforma,Río Rhin,Cuauhtémoc,CUAUHTEMOC,19.429453,-99.16283,4G,24
ECOBICI,20,Reforma - Río Támesis,Reforma,Río Támesis,Cuauhtémoc,CUAUHTEMOC,19.430907,-99.160148,3G,24
ECOBICI,21,Reforma - Dublín,Reforma,Dublín,Juárez,CUAUHTEMOC,19.424784,-99.172119,4G,27
ECOBICI,22,Reforma - Manchester,Reforma,Manchester,Juárez,CUAUHTEMOC,19.424784,-99.172119,4G,36
ECOBICI,23,Reforma - Praga,Reforma,Praga,Juárez,CUAUHTEMOC,19.42528,-99.171099,3G,36
ECOBICI,24,Reforma - Varsovia,Reforma,Varsovia,Juárez,CUAUHTEMOC,19.426614,-99.168078,4G,27
ECOBICI,25,Reforma - Estocolmo,Reforma,Estocolmo,Juárez,CUAUHTEMOC,19.427338,-99.16672,3G,27
ECOBICI,26,Reforma - Versalles,Reforma,Versalles,Juárez,CUAUHTEMOC,19.432595,-99.154995,4G,18
ECOBICI,27,Reforma - Havre,Reforma,Havre,Juárez,CUAUHTEMOC,19.42916,-99.162703,4G,36
ECOBICI,28,Toledo - Tokio,Toledo,Tokio,Juárez,CUAUHTEMOC,19.423664,-99.172568,3G,27
ECOBICI,29,Reforma - Bucareli,Reforma,Bucareli,Centro,CUAUHTEMOC,19.434944,-99.150295,4G,36
ECOBICI,30,Hamburgo - Génova,Hamburgo,Génova,Juárez,CUAUHTEMOC,19.426384,-99.164255,4G,36
ECOBICI,31,Hamburgo - Insurgentes,Hamburgo,Insurgentes,Juárez,CUAUHTEMOC,19.427937,-99.161245,3G,36
ECOBICI,32,Londres - Sevilla,Londres,Sevilla,Juárez,CUAUHTEMOC,19.4226672,-99.1699751,3G,36
ECOBICI,33,Londres - Florencia,Londres,Florencia,Juárez,CUAUHTEMOC,19.424187,-99.166497,Multimedial,24
ECOBICI,34,Liverpool - Génova,Liverpool,Génova,Juárez,CUAUHTEMOC,19.424584,-99.163688,3G,36
ECOBICI,35,Liverpool - Génova,Liverpool,Génova,Juárez,CUAUHTEMOC,19.424558,-99.163518,4G,36
ECOBICI,36,Puebla - Veracruz,Puebla,Veracruz,Roma Norte,CUAUHTEMOC,19.41966,-99.17588,4G,33
ECOBICI,37,Guadalajara - Puebla,Guadalajara,Puebla,Roma Norte,CUAUHTEMOC,19.4204398,-99.1727208,3G,21
ECOBICI,38,Cozumel - Puebla,Cozumel,Puebla,Roma Norte,CUAUHTEMOC,19.4208433,-99.1713729,3G,36
ECOBICI,39,Puebla - Medellín,Puebla,Medellín,Roma Norte,CUAUHTEMOC,19.421762,-99.166931,3G,21
ECOBICI,40,Oaxaca - Puebla,Oaxaca,Puebla,Roma Norte,CUAUHTEMOC,19.422379,-99.164137,3G,24
ECOBICI,41,Reforma - De la República,Reforma,De la República,Tabacalera,CUAUHTEMOC,19.43542,-99.150317,4G,36
ECOBICI,42,Sinaloa - Valladolid,Sinaloa,Valladolid,Roma Norte,CUAUHTEMOC,19.420627,-99.16821,3G,24
ECOBICI,43,Juárez - Dr. Mora,Juárez,Dr. Mora,Centro,CUAUHTEMOC,19.4351365,-99.1460756,4G,33
ECOBICI,44,Durango - Veracruz,Durango,Veracruz,Roma Norte,CUAUHTEMOC,19.418141,-99.174709000000007,3G,27
ECOBICI,45,Durango - Sonora,Durango,Sonora,Roma Norte,CUAUHTEMOC,19.418749,-99.171942,4G,36
ECOBICI,46,Durango - Salamanca,Durango,Salamanca,Roma Norte,CUAUHTEMOC,19.41919,-99.169764,3G,36
ECOBICI,47,Plaza Madrid - Medellín,Plaza Madrid,Medellín,Roma Norte,CUAUHTEMOC,19.41955,-99.166214,4G,24
ECOBICI,48,Independencia - Azueta,Independencia,Azueta,Centro,CUAUHTEMOC,19.433705,-99.146665,3G,12
ECOBICI,49,Mazatlán - Juan de la Barrera,Mazatlán,Juan de la Barrera,Condesa,CUAUHTEMOC,19.41689,-99.17562,3G,36
ECOBICI,50,Cuernavaca - Veracruz,Cuernavaca,Veracruz,Condesa,CUAUHTEMOC,19.416886,-99.173591,3G,27
ECOBICI,51,Colima - Oaxaca,Colima,Oaxaca,Roma Norte,CUAUHTEMOC,19.418031,-99.168435,3G,27
ECOBICI,52,Hidalgo - Trujano,Hidalgo,Trujano,Centro,CUAUHTEMOC,19.436208,-99.141931,4G,21
ECOBICI,53,Fernando Montes de Oca - Tula,Fernando Montes de Oca,Tula,Condesa,CUAUHTEMOC,19.4148233,-99.1783527,3G,15
ECOBICI,54,Parque España - Sonora,Parque España,Sonora,Condesa,CUAUHTEMOC,19.416163,-99.170795,4G,36
ECOBICI,55,5 de Mayo - Bolívar,5 de Mayo,Bolívar,Centro,CUAUHTEMOC,19.434514,-99.138068,4G,15
ECOBICI,56,Álvaro Obregón - Medellín,Álvaro Obregón,Medellín,Roma Norte,CUAUHTEMOC,19.417102,-99.165607,3G,36
ECOBICI,57,Cuernavaca - Juan Escutia,Cuernavaca,Juan Escutia,Condesa,CUAUHTEMOC,19.414968,-99.174766,3G,12
ECOBICI,58,Parque España - Juan de la Barrera,Parque España,Juan de la Barrera,Condesa,CUAUHTEMOC,19.415358,-99.171902,3G,27
ECOBICI,59,Popocatépetl - Ámsterdam,Popocatépetl,Ámsterdam,Hipódromo,CUAUHTEMOC,19.415237,-99.16659,3G,36
ECOBICI,60,Mazatlán - Fernando Montes de Oca,Mazatlán,Fernando Montes de Oca,Condesa,CUAUHTEMOC,19.414119,-99.177214,3G,36
ECOBICI,61,Avenida México - Sonora,Avenida México,Sonora,Hipódromo,CUAUHTEMOC,19.413789,-99.169427,4G,36
ECOBICI,62,Fernando Montes de Oca - Amatlán,Fernando Montes de Oca,Amatlán,Condesa,CUAUHTEMOC,19.413314,-99.175225,3G,18
ECOBICI,63,Nuevo León - Laredo,Nuevo León,Laredo,Hipódromo,CUAUHTEMOC,19.41299,-99.171675,4G,36
ECOBICI,64,Sonora - Ámsterdam,Sonora,Ámsterdam,Hipódromo,CUAUHTEMOC,19.412982,-99.166936,3G,36
