anio,mes,fecha_referencia,hora_retiro,genero,rango_edad,viajes
2010,Febrero,2010-02-28,00:00:00 hrs,Hombre,21 - 30 años,1
2010,Febrero,2010-02-28,00:00:00 hrs,Hombre,31 - 40 años,1
2010,Febrero,2010-02-28,00:00:00 hrs,Hombre,51 - 60 años,1
2010,Febrero,2010-02-28,07:00:00 hrs,Hombre,21 - 30 años,5
2010,Febrero,2010-02-28,07:00:00 hrs,Hombre,31 - 40 años,2
2010,Febrero,2010-02-28,07:00:00 hrs,Hombre,41 - 50 años,6
2010,Febrero,2010-02-28,07:00:00 hrs,Hombre,51 - 60 años,12
2010,Febrero,2010-02-28,07:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,07:00:00 hrs,Mujer,31 - 40 años,1
2010,Febrero,2010-02-28,07:00:00 hrs,Mujer,41 - 50 años,1
2010,Febrero,2010-02-28,08:00:00 hrs,Hombre,21 - 30 años,8
2010,Febrero,2010-02-28,08:00:00 hrs,Hombre,31 - 40 años,17
2010,Febrero,2010-02-28,08:00:00 hrs,Hombre,41 - 50 años,4
2010,Febrero,2010-02-28,08:00:00 hrs,Hombre,51 - 60 años,7
2010,Febrero,2010-02-28,08:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,08:00:00 hrs,Mujer,21 - 30 años,1
2010,Febrero,2010-02-28,08:00:00 hrs,Mujer,61 - 70 años,2
2010,Febrero,2010-02-28,09:00:00 hrs,Hombre,10 - 20 años,1
2010,Febrero,2010-02-28,09:00:00 hrs,Hombre,21 - 30 años,8
2010,Febrero,2010-02-28,09:00:00 hrs,Hombre,31 - 40 años,12
2010,Febrero,2010-02-28,09:00:00 hrs,Hombre,41 - 50 años,6
2010,Febrero,2010-02-28,09:00:00 hrs,Hombre,51 - 60 años,8
2010,Febrero,2010-02-28,09:00:00 hrs,Mujer,31 - 40 años,1
2010,Febrero,2010-02-28,10:00:00 hrs,Hombre,10 - 20 años,4
2010,Febrero,2010-02-28,10:00:00 hrs,Hombre,21 - 30 años,7
2010,Febrero,2010-02-28,10:00:00 hrs,Hombre,31 - 40 años,17
2010,Febrero,2010-02-28,10:00:00 hrs,Hombre,41 - 50 años,8
2010,Febrero,2010-02-28,10:00:00 hrs,Hombre,51 - 60 años,6
2010,Febrero,2010-02-28,10:00:00 hrs,Mujer,21 - 30 años,1
2010,Febrero,2010-02-28,10:00:00 hrs,Mujer,31 - 40 años,3
2010,Febrero,2010-02-28,10:00:00 hrs,Mujer,41 - 50 años,1
2010,Febrero,2010-02-28,10:00:00 hrs,Mujer,61 - 70 años,1
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,10 - 20 años,1
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,21 - 30 años,13
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,31 - 40 años,16
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,41 - 50 años,5
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,51 - 60 años,10
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,61 - 70 años,4
2010,Febrero,2010-02-28,11:00:00 hrs,Hombre,71 - 80 años,3
2010,Febrero,2010-02-28,11:00:00 hrs,Mujer,21 - 30 años,4
2010,Febrero,2010-02-28,11:00:00 hrs,Mujer,31 - 40 años,5
2010,Febrero,2010-02-28,11:00:00 hrs,Mujer,41 - 50 años,1
2010,Febrero,2010-02-28,11:00:00 hrs,Mujer,51 - 60 años,1
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,10 - 20 años,5
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,21 - 30 años,13
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,31 - 40 años,21
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,41 - 50 años,5
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,51 - 60 años,12
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,61 - 70 años,2
2010,Febrero,2010-02-28,12:00:00 hrs,Hombre,71 - 80 años,3
2010,Febrero,2010-02-28,12:00:00 hrs,Mujer,21 - 30 años,1
2010,Febrero,2010-02-28,12:00:00 hrs,Mujer,31 - 40 años,3
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,10 - 20 años,7
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,21 - 30 años,24
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,31 - 40 años,37
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,41 - 50 años,8
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,51 - 60 años,12
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,61 - 70 años,2
2010,Febrero,2010-02-28,13:00:00 hrs,Hombre,71 - 80 años,5
2010,Febrero,2010-02-28,13:00:00 hrs,Mujer,21 - 30 años,3
2010,Febrero,2010-02-28,13:00:00 hrs,Mujer,31 - 40 años,13
2010,Febrero,2010-02-28,13:00:00 hrs,Mujer,51 - 60 años,1
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,10 - 20 años,2
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,21 - 30 años,25
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,31 - 40 años,42
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,41 - 50 años,14
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,51 - 60 años,13
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,61 - 70 años,4
2010,Febrero,2010-02-28,14:00:00 hrs,Hombre,71 - 80 años,2
2010,Febrero,2010-02-28,14:00:00 hrs,Mujer,21 - 30 años,3
2010,Febrero,2010-02-28,14:00:00 hrs,Mujer,31 - 40 años,5
2010,Febrero,2010-02-28,14:00:00 hrs,Mujer,51 - 60 años,1
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,10 - 20 años,2
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,21 - 30 años,27
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,31 - 40 años,45
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,41 - 50 años,13
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,51 - 60 años,9
2010,Febrero,2010-02-28,15:00:00 hrs,Hombre,71 - 80 años,1
2010,Febrero,2010-02-28,15:00:00 hrs,Mujer,21 - 30 años,3
2010,Febrero,2010-02-28,15:00:00 hrs,Mujer,31 - 40 años,5
2010,Febrero,2010-02-28,15:00:00 hrs,Mujer,41 - 50 años,2
2010,Febrero,2010-02-28,15:00:00 hrs,Mujer,51 - 60 años,2
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,10 - 20 años,8
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,21 - 30 años,23
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,31 - 40 años,24
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,41 - 50 años,8
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,51 - 60 años,14
2010,Febrero,2010-02-28,16:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,16:00:00 hrs,Mujer,21 - 30 años,4
2010,Febrero,2010-02-28,16:00:00 hrs,Mujer,31 - 40 años,5
2010,Febrero,2010-02-28,16:00:00 hrs,Mujer,41 - 50 años,3
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,10 - 20 años,7
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,21 - 30 años,22
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,31 - 40 años,26
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,41 - 50 años,9
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,51 - 60 años,6
2010,Febrero,2010-02-28,17:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,17:00:00 hrs,Mujer,21 - 30 años,2
2010,Febrero,2010-02-28,17:00:00 hrs,Mujer,31 - 40 años,4
2010,Febrero,2010-02-28,17:00:00 hrs,Mujer,41 - 50 años,1
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,10 - 20 años,5
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,21 - 30 años,18
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,31 - 40 años,34
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,41 - 50 años,3
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,51 - 60 años,8
2010,Febrero,2010-02-28,18:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,18:00:00 hrs,Mujer,21 - 30 años,5
2010,Febrero,2010-02-28,18:00:00 hrs,Mujer,31 - 40 años,7
2010,Febrero,2010-02-28,18:00:00 hrs,Mujer,51 - 60 años,2
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,10 - 20 años,6
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,21 - 30 años,9
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,31 - 40 años,19
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,41 - 50 años,7
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,51 - 60 años,9
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,61 - 70 años,3
2010,Febrero,2010-02-28,19:00:00 hrs,Hombre,71 - 80 años,2
2010,Febrero,2010-02-28,19:00:00 hrs,Mujer,21 - 30 años,3
2010,Febrero,2010-02-28,19:00:00 hrs,Mujer,31 - 40 años,1
2010,Febrero,2010-02-28,19:00:00 hrs,Mujer,41 - 50 años,2
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,10 - 20 años,7
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,21 - 30 años,13
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,31 - 40 años,15
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,41 - 50 años,6
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,51 - 60 años,2
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,61 - 70 años,1
2010,Febrero,2010-02-28,20:00:00 hrs,Hombre,71 - 80 años,2
2010,Febrero,2010-02-28,20:00:00 hrs,Mujer,21 - 30 años,3
2010,Febrero,2010-02-28,20:00:00 hrs,Mujer,31 - 40 años,3
2010,Febrero,2010-02-28,21:00:00 hrs,Hombre,10 - 20 años,7
